District,Year,SO2,NO2,PM10,PM2.5,Diphtheria
Bhandara,2016,27.48,32.16,51.3,46.82,1
Bhandara,2017,21.39,28.18,93.47,46.85,1
Bhandara,2018,22.96,24.88,56.2,45.85,0
Bhandara,2019,24.69,27.02,73.17,46.22,0
Bhandara,2020,30.93,21.93,89.83,48.58,1
Bhandara,2021,21.46,26.2,76.04,42.96,0
Bhandara,2022,16.74,32.14,76.29,54.39,0
Bhandara,2023,20.96,25.77,71.27,65.44,0
Bhandara,2024,19.36,31.21,76.19,62.55,0
Bhandara,2025,17.1,35.82,84.77,52.74,0
Buldhana,2000,9.0,22.96,53.17,31.67,0
Buldhana,2001,14.54,25.63,47.0,31.44,0
Buldhana,2002,20.74,25.49,44.94,26.48,0
Buldhana,2003,12.84,25.0,61.91,40.8,0
Buldhana,2004,5.58,19.55,38.61,42.9,0
Buldhana,2005,12.1,13.05,46.68,24.57,0
Buldhana,2006,18.87,23.42,63.66,27.47,0
Buldhana,2007,23.1,19.22,49.63,41.59,0
Buldhana,2008,13.37,15.21,71.68,27.77,1
Buldhana,2009,17.24,30.38,45.07,60.01,0
Buldhana,2010,7.61,25.05,66.33,43.07,0
Buldhana,2011,22.35,29.88,57.44,51.49,1
Buldhana,2012,11.7,29.08,56.37,40.01,0
Buldhana,2013,18.42,13.18,51.18,40.43,0
Buldhana,2014,20.31,31.42,57.07,37.11,1
Buldhana,2015,8.2,22.29,76.79,36.56,1
Buldhana,2016,23.94,26.66,64.87,54.9,0
Buldhana,2017,21.67,20.92,67.05,38.94,0
Buldhana,2018,14.01,23.31,53.66,41.66,1
Buldhana,2019,27.4,31.6,79.76,37.66,0
Buldhana,2020,18.9,39.56,69.3,43.63,1
Buldhana,2021,29.58,27.38,67.91,53.02,1
Buldhana,2022,7.69,29.53,74.93,54.18,1
Buldhana,2023,14.77,29.99,72.67,56.77,0
Buldhana,2024,17.26,30.37,70.88,43.63,1
Buldhana,2025,26.91,18.77,81.44,67.17,0
Chandrapur,2000,16.47,9.42,39.26,28.36,0
Chandrapur,2001,24.69,12.15,50.78,23.3,1
Chandrapur,2002,21.89,27.15,48.21,34.37,0
Chandrapur,2003,11.04,20.82,45.42,35.58,0
Chandrapur,2004,22.89,14.38,47.59,41.7,0
Chandrapur,2005,16.92,20.74,51.49,33.72,1
Chandrapur,2006,15.62,12.03,69.16,18.6,0
Chandrapur,2007,15.45,26.4,50.47,39.19,0
Chandrapur,2008,21.29,23.24,62.09,30.18,0
Chandrapur,2009,20.8,26.11,41.78,26.73,0
Chandrapur,2010,19.81,26.75,60.29,36.79,0
Chandrapur,2011,18.53,23.16,49.69,37.25,0
Chandrapur,2012,14.82,25.07,70.33,43.2,0
Chandrapur,2013,23.26,34.94,54.81,19.56,0
Chandrapur,2014,18.14,27.79,65.09,44.04,0
Chandrapur,2015,16.31,18.97,73.92,46.17,1
Chandrapur,2016,24.65,37.03,58.81,57.64,1
Chandrapur,2017,16.93,31.72,75.29,50.89,0
Chandrapur,2018,19.65,29.22,79.84,35.26,0
Chandrapur,2019,21.38,30.12,82.96,40.24,0
Chandrapur,2020,22.35,35.38,94.95,37.18,0
Chandrapur,2021,17.92,29.09,77.22,27.4,1
Chandrapur,2022,25.86,31.81,82.4,55.96,0
Chandrapur,2023,19.34,25.15,68.19,37.94,0
Chandrapur,2024,27.44,25.76,67.88,44.51,1
Chandrapur,2025,25.94,32.8,86.03,65.12,0
Dhule,2000,12.91,22.43,35.83,27.2,1
Dhule,2001,23.39,19.69,38.24,23.02,0
Dhule,2002,12.76,17.5,48.14,28.84,0
Dhule,2003,21.38,20.71,57.19,20.39,0
Dhule,2004,14.41,25.11,56.45,30.66,0
Dhule,2005,22.69,21.74,46.12,40.22,1
Dhule,2006,16.42,28.23,52.06,39.18,0
Dhule,2007,9.52,18.17,56.09,29.19,0
Dhule,2008,15.98,23.88,57.15,32.62,0
Dhule,2009,28.56,30.08,56.81,30.31,1
Dhule,2010,19.91,29.87,40.14,37.08,0
Dhule,2011,16.51,17.43,45.52,30.44,0
Dhule,2012,16.26,30.41,53.33,44.69,0
Dhule,2013,15.34,29.81,68.45,46.24,0
Dhule,2014,20.8,21.05,80.02,42.62,0
Dhule,2015,19.8,26.41,75.04,37.93,1
Dhule,2016,16.61,27.3,62.11,52.65,1
Dhule,2017,19.03,31.52,60.41,59.8,0
Dhule,2018,20.94,23.96,87.37,36.22,0
Dhule,2019,9.43,26.51,57.16,22.88,0
Dhule,2020,23.4,28.25,63.75,57.12,0
Dhule,2021,31.06,30.21,77.27,34.39,0
Dhule,2022,32.89,32.94,82.55,52.11,1
Dhule,2023,15.39,33.78,94.97,56.09,0
Dhule,2024,14.93,31.34,68.87,35.64,0
Dhule,2025,30.59,30.96,70.89,60.43,0
Gadchiroli,2000,20.59,23.88,51.01,42.81,0
Gadchiroli,2001,7.27,11.38,44.33,32.91,0
Gadchiroli,2002,17.55,27.97,59.18,47.55,0
Gadchiroli,2003,6.43,23.12,51.47,32.82,0
Gadchiroli,2004,22.76,28.76,48.55,21.36,0
Gadchiroli,2005,16.75,23.55,54.46,37.36,1
Gadchiroli,2006,15.46,34.22,57.72,40.55,0
Gadchiroli,2007,13.46,20.75,57.46,35.82,0
Gadchiroli,2008,24.46,16.98,47.12,34.45,0
Gadchiroli,2009,16.02,22.35,50.67,32.74,0
Gadchiroli,2010,13.94,26.95,61.96,44.69,0
Gadchiroli,2011,22.33,22.63,78.64,26.08,0
Gadchiroli,2012,14.95,20.36,51.14,48.68,0
Gadchiroli,2013,23.74,29.15,67.04,55.22,0
Gadchiroli,2014,21.29,33.12,70.93,39.46,1
Gadchiroli,2015,22.46,31.17,67.44,47.6,0
Gadchiroli,2016,15.98,33.2,69.78,29.15,1
Gadchiroli,2017,16.82,21.78,70.48,40.26,0
Gadchiroli,2018,20.04,29.58,60.82,57.13,0
Gadchiroli,2019,13.35,28.61,83.01,46.44,0
Gadchiroli,2020,13.96,29.1,72.08,51.03,1
Gadchiroli,2021,23.11,46.85,83.76,47.94,0
Gadchiroli,2022,30.8,26.72,65.75,38.61,0
Gadchiroli,2023,22.63,22.48,64.76,45.17,0
Gadchiroli,2024,22.04,38.83,80.99,51.61,1
Gadchiroli,2025,35.05,30.06,59.64,51.04,0
Gondia,2000,7.57,12.64,57.21,31.33,0
Gondia,2001,17.45,25.14,39.26,47.06,0
Gondia,2002,12.78,26.02,48.84,19.72,0
Gondia,2003,20.42,16.37,43.31,33.11,0
Gondia,2004,11.37,30.29,52.05,31.73,0
Gondia,2005,13.21,24.66,56.04,23.5,1
Gondia,2006,12.48,22.06,54.59,40.4,0
Gondia,2007,21.78,29.41,65.53,33.97,1
Gondia,2008,12.26,7.31,53.5,34.71,0
Gondia,2009,16.07,25.78,63.24,36.44,0
Gondia,2010,27.16,23.69,65.99,35.27,0
Gondia,2011,16.67,19.15,62.56,41.16,1
Gondia,2012,27.77,30.49,61.96,38.21,1
Gondia,2013,21.46,15.81,69.37,25.0,0
Gondia,2014,25.35,27.24,71.99,48.62,0
Gondia,2015,19.47,23.49,52.03,45.07,0
Gondia,2016,21.21,24.05,65.44,34.96,1
Gondia,2017,22.12,35.16,82.42,35.17,0
Gondia,2018,21.71,34.73,79.51,37.3,1
Gondia,2019,18.75,25.28,72.94,44.25,0
Gondia,2020,21.95,24.71,91.08,57.84,0
Gondia,2021,18.05,26.36,76.29,46.01,1
Gondia,2022,22.14,29.16,69.36,47.78,1
Gondia,2023,17.43,23.14,69.27,46.89,1
Gondia,2024,21.5,32.91,92.35,57.78,0
Gondia,2025,26.32,41.26,95.58,46.23,0
Hingoli,2000,14.42,11.99,47.89,38.5,0
Hingoli,2001,18.72,18.06,66.49,14.28,0
Hingoli,2002,18.31,16.25,65.45,25.43,0
Hingoli,2003,22.5,24.31,55.14,28.87,0
Hingoli,2004,21.75,24.18,62.28,25.43,0
Hingoli,2005,20.47,25.39,40.72,30.54,0
Hingoli,2006,16.19,19.81,49.51,26.45,0
Hingoli,2007,12.76,25.23,48.36,43.31,1
Hingoli,2008,18.96,29.85,49.57,30.82,1
Hingoli,2009,9.21,21.08,51.82,28.34,0
Hingoli,2010,17.07,16.02,67.33,25.34,0
Hingoli,2011,12.99,20.15,61.03,48.71,0
Hingoli,2012,15.45,32.04,59.52,21.95,0
Hingoli,2013,22.32,28.53,57.44,38.16,0
Hingoli,2014,19.65,27.44,72.78,49.9,0
Hingoli,2015,23.37,24.19,56.21,34.99,0
Hingoli,2016,20.81,26.75,65.01,50.23,0
Hingoli,2017,19.37,30.16,61.75,51.95,1
Hingoli,2018,23.05,26.38,55.96,49.95,0
Hingoli,2019,26.78,31.24,72.96,43.53,0
Hingoli,2020,21.57,33.73,73.21,43.41,0
Hingoli,2021,18.69,36.43,69.44,42.06,0
Hingoli,2022,21.72,28.26,69.09,39.86,1
Hingoli,2023,22.86,37.46,79.52,55.59,0
Hingoli,2024,19.77,34.3,95.17,49.62,1
Hingoli,2025,21.86,39.53,84.43,57.51,0
Jalgaon,2000,18.03,10.69,45.96,27.2,0
Jalgaon,2001,7.77,29.45,51.95,41.53,0
Jalgaon,2002,16.47,30.24,60.01,37.17,1
Jalgaon,2003,9.82,20.9,75.65,34.13,1
Jalgaon,2004,10.32,18.51,47.58,39.68,0
Jalgaon,2005,16.73,28.37,36.54,31.65,0
Jalgaon,2006,9.82,21.41,50.96,23.28,1
Jalgaon,2007,19.96,14.65,41.05,32.58,1
Jalgaon,2008,7.71,26.96,46.85,41.07,1
Jalgaon,2009,17.85,23.8,59.34,40.34,0
Jalgaon,2010,13.42,15.51,51.67,35.7,0
Jalgaon,2011,18.36,31.56,72.14,49.14,0
Jalgaon,2012,25.05,23.43,69.12,39.1,0
Jalgaon,2013,13.5,28.89,68.93,45.4,0
Jalgaon,2014,14.76,18.48,72.5,50.89,1
Jalgaon,2015,25.72,19.52,60.31,32.7,0
Jalgaon,2016,19.87,33.3,52.7,36.84,0
Jalgaon,2017,9.52,20.18,64.14,28.59,0
Jalgaon,2018,16.4,33.37,74.88,36.31,0
Jalgaon,2019,17.25,39.41,72.07,55.27,0
Jalgaon,2020,26.15,23.99,76.52,57.32,0
Jalgaon,2021,21.61,30.27,76.59,49.06,0
Jalgaon,2022,29.55,41.26,70.47,32.36,0
Jalgaon,2023,20.87,28.72,83.66,50.66,0
Jalgaon,2024,22.63,28.12,69.93,48.82,0
Jalgaon,2025,25.8,38.31,85.8,38.38,1
Jalna,2000,18.51,13.07,47.45,38.35,0
Jalna,2001,14.39,23.89,51.81,30.75,0
Jalna,2002,20.75,15.18,63.77,28.89,0
Jalna,2003,17.11,20.18,57.06,24.33,0
Jalna,2004,14.41,24.96,52.66,40.44,0
Jalna,2005,17.13,26.49,57.17,36.47,1
Jalna,2006,13.88,24.25,57.44,34.43,1
Jalna,2007,18.26,26.08,69.98,45.9,0
Jalna,2008,15.8,33.61,52.05,42.23,1
Jalna,2009,24.77,27.06,63.27,40.06,0
Jalna,2010,25.04,19.86,44.66,39.67,0
Jalna,2011,20.84,24.12,65.35,47.02,0
Jalna,2012,23.94,29.53,62.97,48.59,0
Jalna,2013,19.78,27.03,58.62,42.13,0
Jalna,2014,23.51,34.17,59.77,55.27,1
Jalna,2015,21.11,28.1,86.17,56.52,0
Jalna,2016,22.35,48.7,69.78,38.48,1
Jalna,2017,18.14,24.92,53.73,35.83,0
Jalna,2018,20.77,28.64,81.33,52.48,0
Jalna,2019,21.96,32.06,74.17,51.25,0
Jalna,2020,20.96,35.13,82.1,43.24,0
Jalna,2021,21.23,25.7,75.39,39.86,0
Jalna,2022,19.3,34.53,77.98,47.74,1
Jalna,2023,26.95,26.86,79.02,56.54,1
Jalna,2024,14.57,23.87,83.69,47.98,0
Jalna,2025,16.54,33.02,84.32,56.71,0
Kolhapur,2000,13.26,27.3,53.67,43.01,0
Kolhapur,2001,15.77,25.82,47.16,34.7,0
Kolhapur,2002,25.24,12.44,68.9,35.02,1
Kolhapur,2003,10.99,22.33,46.11,37.97,0
Kolhapur,2004,20.52,14.5,69.98,27.88,0
Kolhapur,2005,20.19,21.51,42.32,22.25,0
Kolhapur,2006,16.31,23.37,51.16,43.74,1
Kolhapur,2007,11.78,18.67,57.66,44.51,0
Kolhapur,2008,16.86,32.52,68.34,51.29,1
Kolhapur,2009,20.2,21.98,47.27,37.78,0
Kolhapur,2010,27.04,19.48,54.22,45.24,1
Kolhapur,2011,14.15,27.39,63.61,34.22,1
Kolhapur,2012,28.16,18.36,52.21,42.56,0
Kolhapur,2013,12.77,33.66,61.57,47.01,0
Kolhapur,2014,13.72,31.81,58.37,38.45,1
Kolhapur,2015,9.93,28.6,74.25,37.2,1
Kolhapur,2016,19.37,21.51,64.39,31.63,0
Kolhapur,2017,21.34,28.06,77.41,37.28,1
Kolhapur,2018,8.39,26.13,68.46,26.43,0
Kolhapur,2019,23.83,27.97,52.66,47.89,0
Kolhapur,2020,18.25,29.46,85.6,42.33,1
Kolhapur,2021,18.91,21.86,78.87,44.9,1
Kolhapur,2022,17.0,31.58,79.46,52.95,1
Kolhapur,2023,11.59,28.82,80.38,48.69,1
Kolhapur,2024,24.5,34.59,74.34,41.72,1
Kolhapur,2025,18.07,30.67,85.79,50.54,0
Latur,2000,15.24,24.21,57.86,27.56,0
Latur,2001,20.31,22.25,61.16,24.74,0
Latur,2002,10.66,18.11,43.49,23.68,0
Latur,2003,10.03,27.75,59.43,29.99,1
Latur,2004,19.35,20.3,46.04,35.81,0
Latur,2005,13.85,21.93,57.99,33.32,1
Latur,2006,14.45,16.28,74.23,36.82,1
Latur,2007,19.12,23.77,63.07,24.68,0
Latur,2008,17.37,35.06,74.93,33.88,1
Latur,2009,23.45,27.34,67.43,26.11,1
Latur,2010,18.01,22.67,68.16,41.19,0
Latur,2011,22.37,19.89,88.68,55.2,1
Latur,2012,13.38,24.65,73.57,27.56,1
Latur,2013,12.45,22.93,79.13,41.33,0
Latur,2014,15.91,16.24,75.71,29.81,0
Latur,2015,23.28,35.6,46.21,39.92,1
Latur,2016,19.16,30.92,72.6,38.71,1
Latur,2017,32.35,35.1,61.91,48.15,1
Latur,2018,20.93,18.39,69.21,33.23,0
Latur,2019,21.96,28.68,83.66,40.37,0
Latur,2020,22.29,31.15,60.15,40.47,1
Latur,2021,19.72,36.79,76.34,29.26,0
Latur,2022,28.59,33.11,67.17,54.81,0
Latur,2023,29.58,25.93,62.85,51.54,0
Latur,2024,31.73,44.15,81.35,64.54,1
Latur,2025,20.48,23.73,69.94,45.42,0
Mumbai,2000,23.33,21.16,25.86,46.21,0
Mumbai,2001,8.68,22.48,59.69,23.48,1
Mumbai,2002,11.76,19.04,64.88,34.23,1
Mumbai,2003,10.44,22.67,53.53,35.9,0
Mumbai,2004,10.5,23.59,38.11,41.23,0
Mumbai,2005,7.57,17.44,43.84,22.36,1
Mumbai,2006,21.92,14.95,58.92,31.97,0
Mumbai,2007,22.33,14.84,58.12,35.01,0
Mumbai,2008,20.24,22.7,63.28,40.49,1
Mumbai,2009,8.59,18.39,86.0,30.11,1
Mumbai,2010,29.25,25.8,48.88,36.18,1
Mumbai,2011,18.07,26.92,55.87,35.72,0
Mumbai,2012,19.76,26.11,53.38,61.46,0
Mumbai,2013,21.82,19.42,72.17,25.08,0
Mumbai,2014,20.25,25.09,59.55,46.67,0
Mumbai,2015,20.19,34.23,48.14,50.2,1
Mumbai,2016,16.54,22.05,65.34,46.27,0
Mumbai,2017,32.66,29.9,59.11,58.84,0
Mumbai,2018,19.16,33.47,73.52,35.37,1
Mumbai,2019,18.8,30.59,60.4,46.17,0
Mumbai,2020,13.78,20.8,83.95,47.15,0
Mumbai,2021,24.79,33.41,57.53,40.81,0
Mumbai,2022,19.04,28.19,74.0,46.21,0
Mumbai,2023,21.4,27.12,85.5,46.36,0
Mumbai,2024,24.45,39.97,85.31,42.25,0
Mumbai,2025,21.14,29.16,75.88,63.87,0
Nagpur,2000,21.08,20.36,39.04,23.59,0
Nagpur,2001,12.86,28.65,44.12,31.72,0
Nagpur,2002,8.15,14.65,58.96,21.72,0
Nagpur,2003,13.92,19.94,32.84,29.27,0
Nagpur,2004,14.83,29.03,41.0,45.34,0
Nagpur,2005,16.5,24.44,67.01,33.4,1
Nagpur,2006,16.35,24.37,54.77,39.29,0
Nagpur,2007,20.9,15.15,50.25,25.13,1
Nagpur,2008,14.21,28.81,52.6,43.3,0
Nagpur,2009,18.65,16.4,71.55,29.8,0
Nagpur,2010,11.85,21.62,69.55,39.08,1
Nagpur,2011,26.16,20.5,64.85,21.2,0
Nagpur,2012,17.88,23.17,60.4,38.39,1
Nagpur,2013,23.66,36.52,62.45,60.93,1
Nagpur,2014,19.82,14.51,83.12,35.19,1
Nagpur,2015,16.84,25.32,69.6,48.66,0
Nagpur,2016,25.32,19.88,90.52,42.0,0
Nagpur,2017,14.5,31.03,63.9,38.23,1
Nagpur,2018,22.13,28.2,86.18,50.7,1
Nagpur,2019,26.35,31.43,82.84,45.78,1
Nagpur,2020,19.18,33.07,74.93,43.5,0
Nagpur,2021,13.39,33.39,79.15,46.39,0
Nagpur,2022,19.46,17.42,75.72,53.87,1
Nagpur,2023,13.23,28.54,57.95,53.0,1
Nagpur,2024,21.69,32.02,69.84,46.13,1
Nagpur,2025,26.87,31.13,71.06,55.06,1
Nanded,2000,9.92,16.75,44.59,31.29,0
Nanded,2001,18.44,30.16,24.99,23.03,1
Nanded,2002,14.37,18.95,68.24,30.42,0
Nanded,2003,19.33,18.95,42.59,29.43,1
Nanded,2004,13.38,25.53,62.09,42.52,1
Nanded,2005,18.45,21.28,53.95,37.07,0
Nanded,2006,17.4,26.94,63.82,48.09,0
Nanded,2007,12.88,17.96,68.42,36.49,0
Nanded,2008,21.4,27.38,48.33,38.15,0
Nanded,2009,14.92,20.38,44.42,33.89,0
Nanded,2010,17.14,27.71,61.92,42.97,1
Nanded,2011,14.95,26.35,58.6,30.33,0
Nanded,2012,16.43,20.03,72.37,46.22,0
Nanded,2013,20.92,33.99,67.2,40.6,0
Nanded,2014,15.46,25.33,63.44,26.46,0
Nanded,2015,20.51,25.38,86.8,44.3,0
Nanded,2016,29.47,24.93,73.78,49.06,0
Nanded,2017,26.27,29.53,74.2,50.08,1
Nanded,2018,19.05,42.19,81.72,38.62,1
Nanded,2019,19.29,39.61,72.43,43.07,1
Nanded,2020,15.08,42.43,82.55,41.32,0
Nanded,2021,15.47,26.4,73.93,41.77,1
Nanded,2022,24.25,22.24,80.23,59.08,1
Nanded,2023,21.36,22.69,85.71,43.98,0
Nanded,2024,19.85,23.03,82.38,52.03,0
Nanded,2025,29.49,36.78,70.9,50.68,0
Nandurbar,2000,12.34,24.01,60.68,23.94,1
Nandurbar,2001,19.63,14.57,42.29,44.85,0
Nandurbar,2002,10.63,25.09,47.49,28.55,0
Nandurbar,2003,17.16,22.77,52.1,34.26,1
Nandurbar,2004,11.51,30.57,65.81,34.15,0
Nandurbar,2005,11.96,22.34,56.61,35.43,1
Nandurbar,2006,19.33,17.2,72.53,29.98,0
Nandurbar,2007,18.48,24.05,58.66,29.85,1
Nandurbar,2008,13.88,29.93,70.05,31.91,0
Nandurbar,2009,8.01,30.92,75.62,46.9,0
Nandurbar,2010,15.56,33.06,54.11,44.45,1
Nandurbar,2011,15.19,21.77,56.17,35.58,1
Nandurbar,2012,10.59,25.7,63.98,47.54,0
Nandurbar,2013,26.42,23.27,88.72,27.27,0
Nandurbar,2014,17.01,23.12,85.07,46.36,0
Nandurbar,2015,20.56,18.75,62.98,49.56,1
Nandurbar,2016,18.98,29.31,76.94,40.23,1
Nandurbar,2017,19.91,30.95,65.91,52.08,0
Nandurbar,2018,15.09,29.73,55.83,51.62,1
Nandurbar,2019,29.34,32.08,87.88,65.44,0
Nandurbar,2020,20.66,31.68,73.58,49.18,0
Nandurbar,2021,26.91,31.09,82.48,48.35,1
Nandurbar,2022,17.11,24.27,53.83,56.57,0
Nandurbar,2023,22.92,33.31,88.81,42.58,1
